,url,text
33,https://migri.fi/en/first-residence-permit,Make sure you meet the general requirements for entry into Finland before you submit an application.
34,https://migri.fi/en/first-residence-permit,You can only get a residence permit if you are able to travel to Finland and stay in the country legally.
35,https://migri.fi/en/first-residence-permit,This means that you must have a valid passport.
36,https://migri.fi/en/first-residence-permit,"If your passport expires while the residence permit is valid, remember to renew it early enough."
37,https://migri.fi/en/first-residence-permit,Your residence permit may be withdrawn if you don’t have a valid passport while residing in Finland.
39,https://migri.fi/en/first-residence-permit,The applicant can either apply in the e-service Enter Finland or fill in a paper application.
40,https://migri.fi/en/first-residence-permit,The applicant must wait for the decision in the same country where he or she submitted the application.
41,https://migri.fi/en/first-residence-permit,Applicants who submit a paper application will get the decision by post or via the Finnish embassy or consulate.
42,https://migri.fi/en/first-residence-permit,The applicant may appeal the decision.
43,https://migri.fi/en/first-residence-permit,"A residence permit card will be issued to the applicant, and the applicant’s details will automatically be recorded in the Finnish Population Information System."
45,https://migri.fi/en/coming-to-finland-for-work,"If you plan to work or to engage in business activities in Finland, you will usually need a residence permit."
46,https://migri.fi/en/coming-to-finland-for-work,There are different residence permit applications for different types of work.
47,https://migri.fi/en/coming-to-finland-for-work,You will find the requirements of each permit and the application instructions on the application page of the permit in question.
48,https://migri.fi/en/coming-to-finland-for-work,"If you are not sure which application you should choose, you can use the Application Finder to find out."
49,https://migri.fi/en/coming-to-finland-for-work,"As a rule, if there is no specific residence permit application for your work, you must apply for a residence permit for an employed person."
50,https://migri.fi/en/coming-to-finland-for-work,"For a list of all work-based residence permit applications, see the page Residence permits on the basis of work."
51,https://migri.fi/en/coming-to-finland-for-work,See our video on how to select the right application on the basis of employment.
52,https://migri.fi/en/coming-to-finland-for-work,Are you looking for these?
55,https://migri.fi/en/coming-to-finland-for-work,Right to work without a residence permit
57,https://migri.fi/en/coming-to-finland-for-work,Right to work while your application for an extended permit is being processed
59,https://migri.fi/en/coming-to-finland-for-work,If you already have a residence permit that has been granted on other grounds than work
60,https://migri.fi/en/coming-to-finland-for-work,"If you have already been granted a residence permit on other grounds than work, it may include a right to work."
61,https://migri.fi/en/coming-to-finland-for-work,"If your residence permit includes the right to work, you will usually not need a separate permit for work."
62,https://migri.fi/en/coming-to-finland-for-work,"To find out whether you have the right to work, see your residence permit decision and your residence permit card."
63,https://migri.fi/en/coming-to-finland-for-work,Read more on the page Work in Finland.
65,https://migri.fi/en/coming-to-finland-for-work,"If you are coming to Finland to do seasonal work, you must apply for the appropriate permit for it."
66,https://migri.fi/en/coming-to-finland-for-work,"The different kinds of seasonal work permits are visa for seasonal work, certificate for seasonal work and residence permit for seasonal work."
67,https://migri.fi/en/coming-to-finland-for-work,The duration of your work will affect which seasonal work permit you need to apply for.
68,https://migri.fi/en/coming-to-finland-for-work,Seasonal work refers to work in agriculture and tourism that is tied to a certain time of the year.
69,https://migri.fi/en/coming-to-finland-for-work,Read more on the page Seasonal work.
70,https://migri.fi/en/coming-to-finland-for-work,"By using the fast-track service, you can get a residence permit in two weeks"
71,https://migri.fi/en/coming-to-finland-for-work,"You can fast-track your residence permit application, if you are coming to Finland to work"
72,https://migri.fi/en/coming-to-finland-for-work,Even your spouse and children can apply at the same time and fast-track their applications.
73,https://migri.fi/en/coming-to-finland-for-work,Fast-track applications can be submitted only in the online service Enter Finland.
74,https://migri.fi/en/coming-to-finland-for-work,"For more information, see the page Fast track."
76,https://migri.fi/en/coming-to-finland-for-work,"If you are granted a residence permit for work, your family may usually apply for a residence permit on the basis of family ties."
77,https://migri.fi/en/coming-to-finland-for-work,Read the application page to find out if your family members may get residence permits on the basis of family ties.
78,https://migri.fi/en/coming-to-finland-for-work,Your salary must be sufficient for living in Finland
79,https://migri.fi/en/coming-to-finland-for-work,"When you apply for a residence permit in order to work in Finland, you must be paid an appropriate salary for your work."
80,https://migri.fi/en/coming-to-finland-for-work,Read more on the page Income requirement.
81,https://migri.fi/en/coming-to-finland-for-work,The D visa allows you to travel to Finland immediately after being issued with a residence permit
82,https://migri.fi/en/coming-to-finland-for-work,You should apply for a D visa at the same time as you apply for a residence permit.
83,https://migri.fi/en/coming-to-finland-for-work,You can apply for a D visa if you are coming to Finland to work and will have one the following permits:
84,https://migri.fi/en/coming-to-finland-for-work,"To check if your employer is certified, see the page Certified employers."
85,https://migri.fi/en/coming-to-finland-for-work,Your spouse and children can also apply for a D visa if they are applying for a residence permit on the basis of family ties.
86,https://migri.fi/en/coming-to-finland-for-work,Read more about the D visa.
88,https://migri.fi/en/coming-to-finland-for-work,Application process when you are applying for your first residence permit on the basis of work
89,https://migri.fi/en/coming-to-finland-for-work,Apply for a residence permit by submitting an application that suits your situation.
90,https://migri.fi/en/coming-to-finland-for-work,Submit the application in the e-service Enter Finland or on paper.
91,https://migri.fi/en/coming-to-finland-for-work,You need to submit the application yourself.
92,https://migri.fi/en/coming-to-finland-for-work,Your employer cannot apply for a residence permit on your behalf.
93,https://migri.fi/en/coming-to-finland-for-work,"However, your employer may supplement your application."
94,https://migri.fi/en/coming-to-finland-for-work,Read more on the page For employers.
95,https://migri.fi/en/coming-to-finland-for-work,"After you have filled in your application, you must visit a Finnish mission (embassy or consulate) abroad or a service point of the Finnish Immigration Service in Finland:"
96,https://migri.fi/en/coming-to-finland-for-work,The processing time of your application depends on the grounds on which you applied.
97,https://migri.fi/en/coming-to-finland-for-work,You can find the expected processing times here.
98,https://migri.fi/en/coming-to-finland-for-work,"Please note that the expected processing time is an estimation, and the actual processing time can be either longer or shorter than the estimate."
99,https://migri.fi/en/coming-to-finland-for-work,You can read more about the expected processing times here.
102,https://migri.fi/en/coming-to-finland-for-work,"If we notice that something is missing from your application or if we need additional information from you, we will contact you."
103,https://migri.fi/en/coming-to-finland-for-work,"In some cases, we may ask you for additional information in writing or in an interview."
104,https://migri.fi/en/coming-to-finland-for-work,"If you are applying for a residence permit for an employed person, an Employment and Economic Development Office (TE Office) will make a partial decision on your application."
105,https://migri.fi/en/coming-to-finland-for-work,"If you are applying for a residence permit for a self-employed person, a Centre for Economic Development, Transport and the Environment (ELY Centre) will make a partial decision on your application."
106,https://migri.fi/en/coming-to-finland-for-work,The Finnish Immigration Service will process your application only after this.
107,https://migri.fi/en/coming-to-finland-for-work,"If you submit your application abroad, you cannot come to Finland to wait for a decision while the application is being processed."
108,https://migri.fi/en/coming-to-finland-for-work,"If you nonetheless come to Finland while your application is still pending and you wish to wait for a decision in Finland, you must cancel your first application and submit a new residence permit application in Finland."
109,https://migri.fi/en/coming-to-finland-for-work,We will charge you a new processing fee for the new application.
110,https://migri.fi/en/coming-to-finland-for-work,"If you do not submit a new application after you have arrived in Finland, you must leave the country before your visa or visa-free period expires."
111,https://migri.fi/en/coming-to-finland-for-work,"If you are in Finland when you apply for a residence permit, you are allowed to wait for the decision in the country even if your visa or visa-free period expires."
112,https://migri.fi/en/coming-to-finland-for-work,"If you need to supplement your application, you can do so in one of the following ways:"
113,https://migri.fi/en/coming-to-finland-for-work,Read more on the page Notify us of changes.
114,https://migri.fi/en/coming-to-finland-for-work,You may cancel your application at any time during its processing.
115,https://migri.fi/en/coming-to-finland-for-work,Read more on the page Cancelling an application.
116,https://migri.fi/en/coming-to-finland-for-work,"If you have applied for a residence permit through the e-service Enter Finland, you will get an e-mail or a text message when a decision has been made."
117,https://migri.fi/en/coming-to-finland-for-work,You will also see it in your user account in the e-service.
118,https://migri.fi/en/coming-to-finland-for-work,If you submitted your residence permit application on paper:
119,https://migri.fi/en/coming-to-finland-for-work,Some decisions will be sent by post with an advice of delivery.
120,https://migri.fi/en/coming-to-finland-for-work,Read more about collecting your letter on the Advice of delivery page.
121,https://migri.fi/en/coming-to-finland-for-work,Your employer will also be informed of the decision.
122,https://migri.fi/en/coming-to-finland-for-work,"If you get a positive decision, you will get a residence permit card."
123,https://migri.fi/en/coming-to-finland-for-work,"If you applied for a residence permit in Finland and receive a negative decision, you may be refused entry to Finland."
124,https://migri.fi/en/coming-to-finland-for-work,"If you are not satisfied with the decision, you have the right to appeal against the decision to an Administrative Court."
125,https://migri.fi/en/coming-to-finland-for-work,Instructions on how to appeal will be attached to the decision.
126,https://migri.fi/en/coming-to-finland-for-work,The majority of decisions made by the Administrative Courts are subject to a fee.
127,https://migri.fi/en/coming-to-finland-for-work,Contact an Administrative Court to find out more about court fees.
128,https://migri.fi/en/coming-to-finland-for-work,Residence permit for an employed person (TTOL)
130,https://migri.fi/en/coming-to-finland-for-work,An Employment and Economic Development Office makes a partial decision.
131,https://migri.fi/en/coming-to-finland-for-work,"After this, the Finnish Immigration Service processes the application and makes a decision."
132,https://migri.fi/en/coming-to-finland-for-work,The employee is informed of the decision through the e-service or the Finnish mission.
133,https://migri.fi/en/coming-to-finland-for-work,The employer is also informed of the decision.
134,https://migri.fi/en/coming-to-finland-for-work,The employee can start working.
135,https://migri.fi/en/coming-to-finland-for-work,The employee is informed of the decision.
137,https://migri.fi/en/coming-to-finland-for-work,The employee may appeal the decision to an administrative court.
138,https://migri.fi/en/coming-to-finland-for-work,"Employed person, other residence permit (for example specialist, top or middle management of a company, researcher)"
146,https://migri.fi/en/coming-to-finland-for-work,Prepare for your life in Finland
147,https://migri.fi/en/coming-to-finland-for-work,"Among other things, the authorities may ask you for information about whether you have enough money to live in Finland."
148,https://migri.fi/en/coming-to-finland-for-work,"If you were not issued a personal identity code together with your residence permit card, you must visit a service location of the Digital and Population Data Services Agency in person."
149,https://migri.fi/en/coming-to-finland-for-work,"The Digital and Population Data Services Agency enters your personal details, information about your family relations and your address in the Population Information System."
150,https://migri.fi/en/coming-to-finland-for-work,You can also apply for a municipality of residence at the Digital and Population Data Services Agency.
151,https://migri.fi/en/coming-to-finland-for-work,"For more information, visit the website of the Digital and Population Data Services Agency (dvv.fi)"
152,https://migri.fi/en/coming-to-finland-for-work/applications,Residence permits on the basis of work
154,https://migri.fi/en/coming-to-finland-for-work/applications,"If you are not sure which application you should submit, you can use the Application Finder to find out."
155,https://migri.fi/en/coming-to-finland-for-work/applications,You can get help to choose the right application from our instruction videos:
157,https://migri.fi/en/residence-permit-for-an-employed-person,"If your employer has obtained employer certification, you can apply for a D visa at the same time as you apply for a residence permit."
158,https://migri.fi/en/residence-permit-for-an-employed-person,The D visa allows you to travel to Finland immediately after you have been issued with a residence permit and a D visa sticker has been attached to your passport.
160,https://migri.fi/en/residence-permit-for-an-employed-person,Your spouse and children can apply for a D visa if they are applying for a residence permit on the basis of family ties.
161,https://migri.fi/en/residence-permit-for-an-employed-person,Expected processing time for electronic application
162,https://migri.fi/en/residence-permit-for-an-employed-person,First permit 2 months / extended permit 2 months
163,https://migri.fi/en/residence-permit-for-an-employed-person,Expected processing time for paper application
166,https://migri.fi/en/residence-permit-for-an-employed-person,First permit 540 € / extended permit 170 €
168,https://migri.fi/en/residence-permit-for-an-employed-person,First permit 740 € / extended permit 430 €
172,https://migri.fi/en/residence-permit-for-an-employed-person,Your employer must supplement your application by filling in your terms of employment either online in Enter Finland or by using a paper form.
174,https://migri.fi/en/residence-permit-for-an-employed-person,You have sufficient qualifications and education for the job in question.
176,https://migri.fi/en/residence-permit-for-an-employed-person,You have sufficient income in Finland during the entire time your residence permit is valid.
177,https://migri.fi/en/residence-permit-for-an-employed-person,"In addition, you must meet the general requirements for obtaining a residence permit."
178,https://migri.fi/en/residence-permit-for-an-employed-person,See also the general requirements for granting a residence permit.
179,https://migri.fi/en/residence-permit-for-an-employed-person,Have the attachments translated and legalised if needed.
180,https://migri.fi/en/residence-permit-for-an-employed-person,"The attachments are available in Albanian, Arabic, Farsi, Mandarin, Russian, Thai, Ukrainian, Uzbek and Vietnamese."
181,https://migri.fi/en/residence-permit-for-an-employed-person,You can fill in the application online in Enter Finland.
182,https://migri.fi/en/residence-permit-for-an-employed-person,The fee for an online application is lower than for a paper application.
183,https://migri.fi/en/residence-permit-for-an-employed-person,"If you apply for your first residence permit in Enter Finland, you might not need to visit a service point when you apply for an extended permit."
184,https://migri.fi/en/residence-permit-for-an-employed-person,"If you cannot use Enter Finland, fill in a paper application."
185,https://migri.fi/en/residence-permit-for-an-employed-person,You will find a link to the application at the bottom of the page.
186,https://migri.fi/en/residence-permit-for-an-employed-person,"If you apply for a residence permit online in Enter Finland, you need to pay the processing fee"
187,https://migri.fi/en/residence-permit-for-an-employed-person,"If you apply for a residence permit with a paper application, you need to pay the processing fee"
188,https://migri.fi/en/residence-permit-for-an-employed-person,"After you have submitted your application in Enter Finland, your employer must add your terms of employment and other required documents to your application using Enter Finland for Employers."
189,https://migri.fi/en/residence-permit-for-an-employed-person,See the page Filling in the terms of employment to check what information your employer needs to fill in and which attachments are required.
190,https://migri.fi/en/residence-permit-for-an-employed-person,An employer who cannot use Enter Finland for Employers can fill in the ‘Terms of employment’ paper form.
191,https://migri.fi/en/residence-permit-for-an-employed-person,"In that case, you need to attach the form to your application in Enter Finland."
192,https://migri.fi/en/residence-permit-for-an-employed-person,"If you are submitting your residence permit application on paper, attach to your application the form ‘Terms of employment’, filled in by your employer."
193,https://migri.fi/en/residence-permit-for-an-employed-person,"When you apply for an extended permit, you may avoid the need to visit a service point to prove your identity if you log in to Enter Finland using Finnish online banking credentials."
194,https://migri.fi/en/residence-permit-for-an-employed-person,Read more on the page Identification.
195,https://migri.fi/en/residence-permit-for-an-employed-person,"For more information, see:"
196,https://migri.fi/en/residence-permit-for-an-employed-person,"For more information, see: Processing of applications"
197,https://migri.fi/en/residence-permit-for-an-employed-person,"You can follow the processing of your application with the help of our chatbot, Kamu, by giving Kamu the diary number of your application."
198,https://migri.fi/en/residence-permit-for-an-employed-person,Kamu will also tell you the expected processing time of your application.
199,https://migri.fi/en/residence-permit-for-an-employed-person,"For more information, see: What affects the processing time of your application"
200,https://migri.fi/en/residence-permit-for-an-employed-person,Applications for a residence permit for an employed person are usually processed in two stages
201,https://migri.fi/en/residence-permit-for-an-employed-person,"First, an Employment and Economic Development Office (TE Office) may assess whether your terms of employment comply with the provisions of law in force and with the applicable collective agreement."
202,https://migri.fi/en/residence-permit-for-an-employed-person,"They may also assess whether you have sufficient means of support, whether your work will be temporary or continuous, and whether labour force is available within a reasonable time in Finland or within the EU/EEA for the work in question."
203,https://migri.fi/en/residence-permit-for-an-employed-person,"Secondly, following this, the Finnish Immigration Service makes its decision."
204,https://migri.fi/en/residence-permit-for-an-employed-person,Check the current overall processing time with our Processing Time Checker.
205,https://migri.fi/en/residence-permit-for-an-employed-person,"If you do not meet the general requirements for obtaining a residence permit, the TE Office does not make a partial decision."
206,https://migri.fi/en/residence-permit-for-an-employed-person,Read more about the general requirements for issuing residence permits.
208,https://migri.fi/en/residence-permit-for-an-employed-person,"Residence permit application for an employed person (TTOL), OLE TY1"
209,https://migri.fi/en/residence-permit-for-an-employed-person,"Extended permit for an employed person (TTOL), OLE TY1"
217,https://migri.fi/en/guide-for-employed-persons,Are you applying for a first residence permit for an employed person?
218,https://migri.fi/en/guide-for-employed-persons,Check out our new guide for employed persons!
219,https://migri.fi/en/guide-for-employed-persons,"When you answer the questions in the guide, you can easily find exactly the information you need."
220,https://migri.fi/en/guide-for-employed-persons,The guide also enables you to compile a checklist of the attachments required for your application.
221,https://migri.fi/en/guide-for-employed-persons,"To help us improve the guide for employees, please take part in our survey"
222,https://migri.fi/en/guide-for-employed-persons,Please take part in our survey.
223,https://migri.fi/en/guide-for-employed-persons,Completing the survey will take a few minutes.
224,https://migri.fi/en/guide-for-employed-persons,Participating in the survey is voluntary.
225,https://migri.fi/en/guide-for-employed-persons,Your answers cannot be linked to you personally.
226,https://migri.fi/en/entrepreneur,You are an entrepreneur if you are
232,https://migri.fi/en/entrepreneur,First permit 490 € / extended permit 170 €
234,https://migri.fi/en/entrepreneur,First permit 690 € / extended permit 430 €
235,https://migri.fi/en/entrepreneur,You cannot get a residence permit only because you own a company.
236,https://migri.fi/en/entrepreneur,You must also work in the company in Finland.
237,https://migri.fi/en/entrepreneur,The application will be processed in two stages.
238,https://migri.fi/en/entrepreneur,"First, a Centre for Economic Development, Transport and the Environment (ELY Centre) will make a partial decision."
239,https://migri.fi/en/entrepreneur,"After this, the Finnish Immigration Service will process the application."
240,https://migri.fi/en/entrepreneur,"If you do not meet the general requirements for obtaining a residence permit, the ELY Centre will not issue a partial decision."
241,https://migri.fi/en/entrepreneur,You are required to have a Business ID
242,https://migri.fi/en/entrepreneur,"If you are a private trader, meaning that you have an individually-owned business (toiminimi), getting a Business ID requires that your domicile is registered in an EEA country."
243,https://migri.fi/en/entrepreneur,"As a private trader, you can apply for a residence permit for an entrepreneur without a Business ID only if you apply for a first residence permit before arriving in Finland."
244,https://migri.fi/en/entrepreneur,This is because you cannot establish an individually-owned business (toiminimi) abroad.
245,https://migri.fi/en/entrepreneur,Your residence permit application must include all basic details about your business and the documents needed for registering your business.
246,https://migri.fi/en/entrepreneur,"For more information on how to set up a company, see the following websites:"
249,https://migri.fi/en/entrepreneur,You are a self-employed person and your form of business is one of the following:
250,https://migri.fi/en/entrepreneur,entrepreneur in a limited liability company
252,https://migri.fi/en/entrepreneur,Your business operations are profitable.
253,https://migri.fi/en/entrepreneur,Your business must be profitable.
254,https://migri.fi/en/entrepreneur,Your means of support must be secured by your income from your business.
255,https://migri.fi/en/entrepreneur,"A Centre for Economic Development, Transport and the Environment (ELY Centre) will assess whether you meet these requirements."
257,https://migri.fi/en/entrepreneur,You have registered your business in the Trade Register maintained by the Finnish Patent and Registration Office.
259,https://migri.fi/en/entrepreneur,See the general requirements for granting a residence permit.
260,https://migri.fi/en/entrepreneur,"If necessary, have the attachments translated and legalised."
262,https://migri.fi/en/entrepreneur,Attachments regarding form of company:
272,https://migri.fi/en/entrepreneur,"When you apply for an extended permit, you may avoid the need to visit a service point to prove your identity if you log in Enter Finland using Finnish online banking credentials."
280,https://migri.fi/en/entrepreneur,"Residence permit application for an entrepreneur, OLE YRI"
281,https://migri.fi/en/entrepreneur,"Extended permit for an entrepreneur, OLE YRI"
283,https://migri.fi/en/entrepreneur,"The Centre for Economic Development, Transport and the Environment of Uusimaa makes a partial decision."
284,https://migri.fi/en/entrepreneur,"After this, the Finnish Immigration Service processes the application and issues a decision."
285,https://migri.fi/en/entrepreneur,The applicant is served with the decision.
286,https://migri.fi/en/entrepreneur,"The applicant is served with the decision either online in Enter Finland, by post or through the Finnish mission."
287,https://migri.fi/en/entrepreneur,The applicant may start the business.
294,https://migri.fi/en/start-up-entrepreneur,You must obtain a positive Eligibility Statement from Business Finland before you can apply for this permit.
295,https://migri.fi/en/start-up-entrepreneur,"For more information about the Eligibility Statement, see the website of Business Finland."
296,https://migri.fi/en/start-up-entrepreneur,Apply for an Eligibility Statement in Enter Finland.
297,https://migri.fi/en/start-up-entrepreneur,Only one person in your start-up team needs to apply for the statement and share it with the rest of the team.
298,https://migri.fi/en/start-up-entrepreneur,"If you cannot get a positive Eligibility Statement from Business Finland, you can apply for a residence permit for an entrepreneur instead."
299,https://migri.fi/en/start-up-entrepreneur,A first residence permit for start-up entrepreneurs can be granted for 2 years.
300,https://migri.fi/en/start-up-entrepreneur,You are required to have sufficient financial resources for the entire duration of your residence permit.
301,https://migri.fi/en/start-up-entrepreneur,Expected processing time for an electronic application
302,https://migri.fi/en/start-up-entrepreneur,First permit 14 days / extended permit 1–2 months
303,https://migri.fi/en/start-up-entrepreneur,Expected processing time for a paper application
304,https://migri.fi/en/start-up-entrepreneur,First permit 1–2 month / extended permit 1–2 months
306,https://migri.fi/en/start-up-entrepreneur,First permit 400 € / extended permit 170 €
308,https://migri.fi/en/start-up-entrepreneur,First permit 480 € / extended permit 430 €
309,https://migri.fi/en/start-up-entrepreneur,You can apply for this residence permit via the fast-track service and get the permit in two weeks.
310,https://migri.fi/en/start-up-entrepreneur,Read more on the page Fast track.
311,https://migri.fi/en/start-up-entrepreneur,You can apply for a D visa at the same time as you apply for a residence permit.
318,https://migri.fi/en/start-up-entrepreneur,You have a positive Eligibility Statement from Business Finland
320,https://migri.fi/en/start-up-entrepreneur,You have sufficient financial resources for the entire duration of your residence permit.
324,https://migri.fi/en/start-up-entrepreneur,"To apply for a residence permit as a start-up entrepreneur, you need the following attachments:"
325,https://migri.fi/en/start-up-entrepreneur,"When you apply for an extended permit as a start-up entrepreneur, you will also need the following attachments:"
341,https://migri.fi/en/start-up-entrepreneur,"When you live in Finland with a residence permit for start-up entrepreneurs, your main activity must be start-up entrepreneurship."
342,https://migri.fi/en/start-up-entrepreneur,"However, your residence permit for start-up entrepreneurs also allows you to do other work in addition to running your start-up company."
343,https://migri.fi/en/start-up-entrepreneur,"If you apply for an extended permit, check whether you have the right to work while your application is being processed."
345,https://migri.fi/en/start-up-entrepreneur,Residence permit application for a start-up entrepreneur
360,https://migri.fi/en/specialist,First permit 380 € / extended permit 170 €
370,https://migri.fi/en/specialist,You must have a job in Finland.
372,https://migri.fi/en/specialist,Your duties must require special expertise.
374,https://migri.fi/en/specialist,"Your gross salary must be at least EUR 3,638 per month in 2024."
376,https://migri.fi/en/specialist,"As a rule, you must have a higher education degree."
378,https://migri.fi/en/specialist,See the general requirements for issuing residence permits.
400,https://migri.fi/en/specialist,You have the right to work as a specialist.
401,https://migri.fi/en/specialist,Check your right to work if you wish to change jobs.
403,https://migri.fi/en/specialist,"Apply for a residence permit for a specialist, OLE TY2"
404,https://migri.fi/en/specialist,"Apply for an extended permit for a specialist, OLE TY2"
411,https://migri.fi/en/eu-blue-card,An EU Blue Card can be granted for a maximum of 2 years.
412,https://migri.fi/en/eu-blue-card,"If your work lasts for less than 2 years, the EU Blue Card will be valid for the duration of the employment relationship and for 3 additional months thereafter."
414,https://migri.fi/en/eu-blue-card,First permit 1 month / extended permit 1 month
430,https://migri.fi/en/eu-blue-card,Your employment relationship lasts for at least one year.
432,https://migri.fi/en/eu-blue-card,Your work consists of expert tasks that require special expertise.
434,https://migri.fi/en/eu-blue-card,You have a higher education degree.
436,https://migri.fi/en/eu-blue-card,"Your gross salary is at least EUR 5,457 per month."
460,https://migri.fi/en/eu-blue-card,An EU Blue Card issued by Finland gives you the right to work only in Finland.
461,https://migri.fi/en/eu-blue-card,Residence in a second EU Member State as a holder of an EU Blue Card
462,https://migri.fi/en/eu-blue-card,"If you have been granted an EU Blue Card by Finland, you can move to a second EU Member State."
463,https://migri.fi/en/eu-blue-card,"If this second Member State does not grant you an EU Blue Card, you can return to Finland."
464,https://migri.fi/en/eu-blue-card,You may stay in Finland for three months even if your Finnish EU Blue Card has expired.
465,https://migri.fi/en/eu-blue-card,"If Finland has granted your family member a residence permit, he or she may move with you to a second EU Member State and return to Finland with you."
474,https://migri.fi/en/research-completed-in-finland,You can apply for this permit after completing your research.
475,https://migri.fi/en/research-completed-in-finland,"To apply, you need to submit a certificate of your doctoral degree or a confirmation by your research organisation of the completion of your research work."
489,https://migri.fi/en/research-completed-in-finland,"You have carried out and completed research work in Finland, such as scientific research, a licentiate degree, or a doctoral dissertation."
490,https://migri.fi/en/research-completed-in-finland,"You have a job, are an entrepreneur, or pursue a trade or business in Finland."
491,https://migri.fi/en/research-completed-in-finland,You must have a sufficient level of income in Finland during the entire period of validity of your residence permit.
492,https://migri.fi/en/research-completed-in-finland,"In order to be granted a residence permit, you must also meet the general requirements for issuing residence permits."
506,https://migri.fi/en/research-completed-in-finland,An employer who is not able to use Enter Finland for Employers can fill in the ‘Terms of employment’ paper form.
508,https://migri.fi/en/research-completed-in-finland,"If you are submitting your residence permit application on paper, have your employer fill in the form ‘Terms of employment’ and attach the form to your application."
509,https://migri.fi/en/research-completed-in-finland,"If you pursue a trade or business and are not an employee, you do not need to fill in the terms of employment."
517,https://migri.fi/en/research-completed-in-finland,When can I start working?
518,https://migri.fi/en/research-completed-in-finland,You cannot start working before you get a residence permit.
519,https://migri.fi/en/research-completed-in-finland,"Once you are granted the residence permit, you may work without restrictions."
520,https://migri.fi/en/research-completed-in-finland,"If your current permit is a residence permit for a researcher and you apply for an extended permit on the basis of completed research work before your current permit expires, you may continue to work or start a new job before the extended permit is granted."
521,https://migri.fi/en/research-completed-in-finland,You may work without restrictions.
522,https://migri.fi/en/research-completed-in-finland,Read more about the right to work while your application for an extended permit is being processed.
540,https://migri.fi/en/degree-completed-in-finland,You can apply for this permit if you have completed all of your studies and you will receive a degree certificate within one month.
541,https://migri.fi/en/degree-completed-in-finland,Attach the degree certificate to your application as soon as you receive it.
542,https://migri.fi/en/degree-completed-in-finland,"In that case, add to your application a document from your educational institution on your studies and mention when you will graduate."
543,https://migri.fi/en/degree-completed-in-finland,The permit can be granted after you have graduated.
544,https://migri.fi/en/degree-completed-in-finland,"If you will receive your certificate later and must already apply for a new residence permit, you can, for example, apply for a residence permit for studies for the duration of your remaining studies."
545,https://migri.fi/en/degree-completed-in-finland,"If you have graduated for over a month ago, you do not need to attach a degree certificate to your application."
546,https://migri.fi/en/degree-completed-in-finland,We can obtain your degree certificate from the study register.
552,https://migri.fi/en/degree-completed-in-finland,You have studied and completed a degree or qualification in Finland.
553,https://migri.fi/en/degree-completed-in-finland,"You have a job, pursue a trade or engage in business activities in Finland."
554,https://migri.fi/en/degree-completed-in-finland,"If you do not yet have a job, you do not pursue a trade or business or you are not an entrepreneur, you can apply for a residence permit to look for work or to start a business."
